POSITION NUMBER,NUMBER OF POSITIONS APPROVED,NUMBER OF POSITIONS FILLED,POSITIONS RECRUITED THEMSELVES,MINIMUM AGE REQUIRED,AGE GROUP PREFERRED,ZIP CODE,PARTS OF CITY,WILL YOU BE WORKING OUTSIDE,DRESS CODE,YOUTH WORKING WITH COMPUTERS,CAREER INTEREST FOR POSITION,LIST OF SKILLS,JOB A,JOB B,JOB C,JOB D,JOB E,JOB F,JOB G,,,,,,,,,,,,,,,,,,,,,,,
1027,9,4,5,16,16-17,21201,DOWNTOWN,NO,NO,NO,"CAMP COUNSELOR,
CUSTODIAL,
LEGAL,
ELDERLY SERVICES,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1028,1,0,1,18,18-21,21163,WEST,NO,NO,NO,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
CONSTRUCTION/MANUFACTURING,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1029,12,7,4,18,18-21,21201,DOWNTOWN,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1030,9,1,1,14,14-21,21224,EAST,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
BUSINESS/FINANCE,
COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1031,6,0,1,17,16-21,21201,DOWNTOWN,YES,NO,YES,"MUSICAL ARTS,
RECREATION AND SPORTS,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1032,4,1,1,16,16-21,21215,WEST,NO,NO,NO,"STEM,
STEM,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1033,7,5,5,14,14-15,21201,DOWNTOWN,YES,NO,NO,"VISUAL ARTS,
RECREATION AND SPORTS,
COMMUNICATION/MEDIA,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1034,3,0,0,16,16-17,21204,EAST,NO,NO,NO,"BUSINESS/FINANCE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1035,7,0,3,14,14-15,21216,WEST,NO,NO,NO,"VISUAL ARTS,
PRE-SCHOOL CHILDCARE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNICATION/MEDIA,
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1036,15,8,8,18,18-21,21213,EAST,NO,YES,YES,"CAMP COUNSELOR,
BUSINESS/FINANCE,
CONSTRUCTION/MANUFACTURING,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1037,4,1,3,18,18-21,21205,EAST,YES,NO,NO,"ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1038,10,0,3,14,14-15,21216,WEST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
COMPUTER INFORMATION TECH,
CUSTODIAL,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1039,2,1,2,14,14-21,21163,WEST,NO,NO,NO,"RECREATION AND SPORTS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1040,10,2,4,14,14-21,21213,EAST,NO,NO,NO,"MUSICAL ARTS,
TEACHER'S AIDE,
COMMUNICATION/MEDIA,
LEGAL,
GRAPHIC DESIGN,
AUTO MECHANICS,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1041,18,1,10,14,14-21,21252,NORTH,NO,NO,NO,"COMMUNITY SERVICE,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1042,6,0,4,15,16-21,21223,WEST,NO,NO,NO,"CAMP COUNSELOR,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1043,15,3,9,14,14-21,21213,EAST,YES,NO,NO,"NURSING,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1044,1,0,1,14,14-21,21214,EAST,NO,YES,YES,"MUSICAL ARTS,
ENVIRONMENTAL/GREEN,
CLERICAL OFFICE WORK,","PLAYS INSTRUMENT, OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1045,4,1,1,16,16-21,21214,EAST,NO,NO,YES,"MUSICAL ARTS,
NURSING,
COMPUTER INFORMATION TECH,
STEM,
CONSTRUCTION/MANUFACTURING,
LEGAL,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1046,9,0,8,16,16-21,21201,DOWNTOWN,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
COMMUNITY SERVICE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1047,5,1,4,14,14-21,21214,EAST,YES,NO,YES,"PRE-SCHOOL CHILDCARE,
RECREATION AND SPORTS,
COMPUTER INFORMATION TECH,
STEM,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1048,6,1,5,15,16-17,21212,EAST,YES,YES,YES,"RECREATION AND SPORTS,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
STEM,
CLERICAL OFFICE WORK,
HOSPITALITY/TRAVEL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1049,14,2,10,16,16-21,21206,EAST,NO,NO,NO,"BUSINESS/FINANCE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1050,2,1,1,14,14-15,21212,EAST,NO,NO,NO,"COMMUNITY SERVICE,
CUSTODIAL,
ARCHITECTURE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1051,1,0,0,14,14-21,21163,WEST,NO,NO,NO,"RETAIL (16+ YEAR OLD ONLY),
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1052,9,0,7,16,16-21,21215,WEST,NO,NO,YES,"CAMP COUNSELOR,
GOVERNMENT/PUBLIC SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",MICROSOFT,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1053,2,0,1,15,16-21,21204,EAST,NO,YES,YES,"NURSING,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1054,5,0,1,15,16-21,21223,WEST,NO,NO,NO,"COMMUNITY SERVICE,
CUSTODIAL,
STEM,
ELDERLY SERVICES,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1055,1,0,0,16,16-21,21220,EAST,NO,NO,YES,"CAMP COUNSELOR,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,
PORT OR MARITIME INDUSTRY,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1056,7,3,3,16,16-21,21201,DOWNTOWN,NO,NO,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1057,13,2,2,15,16-21,21201,DOWNTOWN,NO,YES,NO,"TEACHER'S AIDE,",MICROSOFT,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1058,3,1,2,18,18-21,21211,WEST,YES,NO,NO,"RECREATION AND SPORTS,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1059,7,0,6,18,18-21,21216,WEST,NO,NO,NO,"TEACHER'S AIDE,
CUSTODIAL,
GRAPHIC DESIGN,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1060,3,0,3,16,16-17,21212,EAST,NO,YES,YES,"MUSICAL ARTS,
ENVIRONMENTAL/GREEN,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),","PLAYS INSTRUMENT, OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1061,5,0,5,14,14-21,21224,EAST,NO,NO,NO,"TEACHER'S AIDE,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1062,2,0,1,15,16-17,21163,WEST,NO,YES,NO,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
CUSTODIAL,
CLERICAL OFFICE WORK,
RETAIL (16+ YEAR OLD ONLY),","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1063,6,0,5,16,16-17,21214,EAST,NO,NO,NO,"ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,
HOSPITALITY/TRAVEL,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1064,17,0,7,16,16-21,21216,WEST,NO,NO,NO,"BUSINESS/FINANCE,
GOVERNMENT/PUBLIC SERVICE,
STEM,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1065,20,3,4,18,18-21,21208,NORTH,NO,YES,NO,"COMMUNITY SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1066,17,4,4,16,16-17,21217,WEST,NO,YES,NO,"VISUAL ARTS,
BUSINESS/FINANCE,
CUSTODIAL,
CLERICAL OFFICE WORK,","OFFICE EQUIPMENT, MICROSOFT",NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1067,5,0,4,14,14-21,21212,EAST,NO,NO,NO,"MUSICAL ARTS,
CAMP COUNSELOR,
BUSINESS/FINANCE,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1068,6,4,3,16,16-17,21214,EAST,NO,NO,YES,"MUSICAL ARTS,
COMPUTER INFORMATION TECH,
COMMUNICATION/MEDIA,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1069,8,1,4,15,16-21,21229,WEST,NO,NO,YES,"TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
CULINARY ARTS/FOOD SERVICE,
COMPUTER INFORMATION TECH,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1070,10,4,7,14,14-15,21201,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
PRE-SCHOOL CHILDCARE,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
CUSTODIAL,
LEGAL,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1071,3,0,2,14,14-15,21212,EAST,NO,NO,YES,"TEACHER'S AIDE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
COMPUTER INFORMATION TECH,
CUSTODIAL,
ARCHITECTURE,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1072,17,2,12,16,16-17,21217,WEST,NO,NO,NO,"COMMUNITY SERVICE,
CULINARY ARTS/FOOD SERVICE,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1073,12,0,9,16,16-21,21201,DOWNTOWN,NO,NO,NO,"TEACHER'S AIDE,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
LEGAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1074,5,1,4,14,14-21,21212,EAST,NO,YES,YES,"CULINARY ARTS/FOOD SERVICE,
CUSTODIAL,
GRAPHIC DESIGN,",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1075,1,0,0,18,18-21,21220,EAST,NO,YES,YES,"PRE-SCHOOL CHILDCARE,
CULINARY ARTS/FOOD SERVICE,
LEGAL,
HOSPITALITY/TRAVEL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1076,12,2,9,14,14-21,21201,DOWNTOWN,YES,NO,NO,"VISUAL ARTS,
MUSICAL ARTS,
CAMP COUNSELOR,
ENVIRONMENTAL/GREEN,
HOSPITALITY/TRAVEL,
RETAIL (16+ YEAR OLD ONLY),",,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1077,17,0,8,18,18-21,21217,WEST,YES,YES,YES,"PRE-SCHOOL CHILDCARE,
CLERICAL OFFICE WORK,",MICROSOFT,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,,,,,,,,,,,,,,,,,,,,,,,
1078,14,2,6,18,18-21,21229,WEST,NO,NO,NO,"GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
STEM,",,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1079,10,5,1,14,14-15,21201,DOWNTOWN,NO,NO,NO,"VISUAL ARTS,
BUSINESS/FINANCE,
ENVIRONMENTAL/GREEN,
GOVERNMENT/PUBLIC SERVICE,
CUSTODIAL,",VISUAL ARTS,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1080,3,2,3,18,18-21,21220,EAST,NO,NO,NO,"PRE-SCHOOL CHILDCARE,
COMMUNICATION/MEDIA,
STEM,
GRAPHIC DESIGN,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1081,25,17,10,17,16-21,21252,NORTH,NO,YES,NO,"NURSING,
COMMUNICATION/MEDIA,
CLERICAL OFFICE WORK,
ELECTRICAL/CARPENTRY,","OFFICE EQUIPMENT, MICROSOFT",MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1082,11,4,5,16,16-21,21205,EAST,NO,NO,YES,"PRE-SCHOOL CHILDCARE,
TEACHER'S AIDE,
GOVERNMENT/PUBLIC SERVICE,
COMMUNITY SERVICE,
COMPUTER INFORMATION TECH,
CUSTODIAL,",,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,MOST CLOSELY MATCHES,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
1083,11,2,10,14,14-15,21216,WEST,NO,NO,NO,"VISUAL ARTS,",,MOST CLOSELY MATCHES,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
